Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1990,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,3,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,4,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,5,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,6,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,7,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,9,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,11,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,12,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
